subject_order,subject,category,question_number,difficulty,question,option_a,option_b,option_c,option_d,correct_option
1,Mathematics,Mathematics,1,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=4.",125,121,116,130,B
1,Mathematics,Mathematics,2,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=5.",164,173,169,178,C
1,Mathematics,Mathematics,3,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=6.",234,229,220,225,D
1,Mathematics,Mathematics,4,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=7.",289,293,284,298,A
1,Mathematics,Mathematics,5,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=8.",365,361,356,370,B
1,Mathematics,Mathematics,6,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=9.",436,445,441,450,C
1,Mathematics,Mathematics,7,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=10.",538,533,524,529,D
1,Mathematics,Mathematics,8,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=11.",625,629,620,634,A
1,Mathematics,Mathematics,9,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=12.",733,729,724,738,B
1,Mathematics,Mathematics,10,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=13.",836,845,841,850,C
1,Mathematics,Mathematics,11,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=14.",970,965,956,961,D
1,Mathematics,Mathematics,12,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=15.",1089,1093,1084,1098,A
1,Mathematics,Mathematics,13,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=16.",1229,1225,1220,1234,B
1,Mathematics,Mathematics,14,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=17.",1364,1373,1369,1378,C
1,Mathematics,Mathematics,15,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=18.",1530,1525,1516,1521,D
1,Mathematics,Mathematics,16,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=19.",1681,1685,1676,1690,A
1,Mathematics,Mathematics,17,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=20.",1853,1849,1844,1858,B
1,Mathematics,Mathematics,18,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=21.",2020,2029,2025,2034,C
1,Mathematics,Mathematics,19,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=22.",2218,2213,2204,2209,D
1,Mathematics,Mathematics,20,Easy,"[Easy] In Mathematics, evaluate the expression (2x+3)^2 at x=23.",2401,2405,2396,2410,A
